;;Winner Rank Points;prev_rank;perc;;;
2017;Rigele Te;34;37;-8.11%;;;
2017;Rika Fujiwara;316;19;1563.16%;;;
2017;Riko Sawayanagi;3397;9467;-64.12%;;;
2017;Rio Kitagawa;67;12;458.33%;;;
2017;Risa Ozaki;14383;18206;-21.00%;;;
2017;Risa Ushijima;649;427;51.99%;;;
2017;Rishika Sunkara;76;189;-59.79%;;;
2017;Rita Atik;0;7;-100.00%;;;
2017;Riya Bhatia;1065;918;16.01%;;;
2017;Robert Galloway;3;(null);(null);;;
2017;Robert Quentin;6;(null);(null);;;
2017;Roberta Vinci;18160;67065;-72.92%;;;
2017;Roberto Bautista Agut;67945;57740;17.67%;;;
2017;Roberto Carballes Baena;23374;19262;21.35%;;;
2017;Roberto Cid;291;8;3537.50%;;;
2017;Roberto Marcora;236;1242;-81.00%;;;
2017;Roberto Ortega Olmedo;507;1458;-65.23%;;;
2017;Roberto Quiroz;5009;1198;318.11%;;;
2017;Robin Anderson;2002;4092;-51.08%;;;
2017;Robin Haase;21799;26860;-18.84%;;;
2017;Robin Kern;711;(null);(null);;;
2017;Robin Stanek;312;3169;-90.15%;;;
2017;Robu Kajitani;0;0;(null);;;
2017;Rocio De La Torre Sanchez;209;185;12.97%;;;
2017;Rodrigo Banzer;0;(null);(null);;;
2017;Roger Federer;160330;48935;227.64%;;;
2017;Rogerio Dutra Silva;23170;29184;-20.61%;;;
2017;Romain Arneodo;22;20;10.00%;;;
2017;Romain Barbosa;299;(null);(null);;;
2017;Romain Jouan;98;549;-82.15%;;;
2017;Roman Hassanov;16;26;-38.46%;;;
2017;Roman Safiullin;2082;273;662.64%;;;
2017;Romina Oprandi;162;3901;-95.85%;;;
2017;Romy Koelzer;717;21;3314.29%;;;
2017;Ronan Joncour;22;26;-15.38%;;;
2017;Ronit Yurovsky;1231;468;163.03%;;;
2017;Ronnie Schneider;159;(null);(null);;;
2017;Roosh Wijesundera;27;0;(null);;;
2017;Rosa Vicens Mas;73;(null);(null);;;
2017;Rosalie Van Der Hoek;24;6;300.00%;;;
2017;Rosaline Zafir Chavez Tello;0;(null);(null);;;
2017;Rosie Johanson;0;(null);(null);;;
2017;Roy Sarut De Valk;3;(null);(null);;;
2017;Roy Smith;13;(null);(null);;;
2017;Ruan Roelofse;112;131;-14.50%;;;
2017;Ruben Bemelmans;13945;8714;60.03%;;;
2017;Ruben Gonzales;57;14;307.14%;;;
2017;Ruben Ramirez Hidalgo;3948;9275;-57.43%;;;
2017;Rudolf Molleker;28;(null);(null);;;
2017;Rushmi Chakravarthi;1;0;(null);;;
2017;Rutuja Bhosale;564;0;(null);;;
2017;Ryan Harrison;18582;14588;27.38%;;;
2017;Ryan Haviland;112;168;-33.33%;;;
2017;Ryan Shane;195;348;-43.97%;;;
2017;Ryota Tanuma;18;(null);(null);;;
2017;Sabastiani Leon;26;90;-71.11%;;;
2017;Sabina Machalova;16;20;-20.00%;;;
2017;Sabina Sharipova;11108;13576;-18.18%;;;
2017;Sabine Lisicki;2122;16320;-87.00%;;;
2017;Sabrina Federici;0;(null);(null);;;
2017;Sabrina Rittberger;0;0;(null);;;
2017;Sabrina Santamaria;1113;1066;4.41%;;;
2017;Sachia Vickery;14953;12145;23.12%;;;
2017;Sada Nahimana;0;(null);(null);;;
2017;Sadaf Sadeghvaziri;0;0;(null);;;
2017;Sadafmoh Tolibova;349;522;-33.14%;;;
2017;Sadio Doumbia;1576;3824;-58.79%;;;
2017;Safiya Carrington;0;(null);(null);;;
2017;Sai Dedeepya Yeddula;0;(null);(null);;;
2017;Sai Samhitha Chamarthi;106;97;9.28%;;;
2017;Saisai Zheng;18436;18245;1.05%;;;
2017;Saketh Myneni;315;10702;-97.06%;;;
2017;Sakura Hondo;0;(null);(null);;;
2017;Sally Peers;13;(null);(null);;;
2017;Salma Djoubri;12;(null);(null);;;
2017;Salma Ewing;35;0;(null);;;
2017;Salvatore Caruso;5418;5724;-5.35%;;;
2017;Sam Barry;536;1967;-72.75%;;;
2017;Sam Groth;5780;6479;-10.79%;;;
2017;Sam Querrey;26780;12685;111.12%;;;
2017;Sam Taylor;0;(null);(null);;;
2017;Samantha Crawford;376;14455;-97.40%;;;
2017;Samantha Harris;142;0;(null);;;
2017;Samantha Murray;1096;168;552.38%;;;
2017;Samantha Stosur;32709;59680;-45.19%;;;
2017;Sami Reinwein;120;(null);(null);;;
2017;Samuel Monette;465;0;(null);;;
2017;Sanaz Marand;980;926;5.83%;;;
2017;Sander Arends;0;3;-100.00%;;;
2017;Sandra Jamrichova;298;196;52.04%;;;
2017;Sandra Samir;4102;3038;35.02%;;;
2017;Sandra Zaniewska;317;611;-48.12%;;;
2017;Sandy Marti;0;0;(null);;;
2017;Sanetulla Kutybaev;0;(null);(null);;;
2017;Sang Hee Park;159;183;-13.11%;;;
2017;Sanjar Fayziev;346;418;-17.22%;;;
2017;Santiago Besada;2;(null);(null);;;
2017;Santiago Giraldo;7157;17605;-59.35%;;;
2017;Santiago Gonzalez;0;(null);(null);;;
2017;Sara Cakarevic;1602;985;62.64%;;;
2017;Sara Daavettila;8;0;(null);;;
2017;Sara Errani;15600;44555;-64.99%;;;
2017;Sara Lanca;0;4;-100.00%;;;
2017;Sara Ottomano;17;82;-79.27%;;;
2017;Sara Sorribes Tormo;14826;16584;-10.60%;;;
2017;Sara Tomic;653;1037;-37.03%;;;
2017;Sarah Beth Askew;366;214;71.03%;;;
2017;Sarah Rebecca Sekulic;3400;670;407.46%;;;
2017;Sarah Tami Masi;0;(null);(null);;;
2017;Sari Baba;91;8;1037.50%;;;
2017;Sasa Klanecek;26;20;30.00%;;;
2017;Sasi Kumar Mukund;285;(null);(null);;;
2017;Satsuki Takamura;488;258;89.15%;;;
2017;Schena Benamar;0;0;(null);;;
2017;Scott Puodziunas;24;24;0.00%;;;
2017;Se Hyun Kim;22;0;(null);;;
2017;Sebastian Fanselow;1438;(null);(null);;;
2017;Sebastian Korda;6;(null);(null);;;
2017;Sebastian Ofner;7768;850;813.88%;;;
2017;Sebastian Prechtel;44;(null);(null);;;
2017;Sebastien Boltz;34;178;-80.90%;;;
2017;Sefa Suluoglu;6;(null);(null);;;
2017;Sekou Bangoura;3210;3782;-15.12%;;;
2017;Selma Stefania Cadar;0;(null);(null);;;
2017;Sem Verbeek;45;(null);(null);;;
2017;Seo Kyung Kang;3;0;(null);;;
2017;Seone Mendez;970;55;1663.64%;;;
2017;Seong Chan Hong;242;93;160.22%;;;
2017;Seong Gook Oh;1;2;-50.00%;;;
2017;Serena Gugnali;0;(null);(null);;;
2017;Serena Williams;35370;254660;-86.11%;;;
2017;Sergey Betov;92;1177;-92.18%;;;
2017;Sergey Fomin;13;(null);(null);;;
2017;Sergio Luis Hernandez Ramirez;7;(null);(null);;;
2017;Sergio Martos Gornes;19;(null);(null);;;
2017;Sergiy Stakhovsky;18392;17712;3.84%;;;
2017;Sesil Karatantcheva;6865;7738;-11.28%;;;
2017;Seung Yeon Hong;344;508;-32.28%;;;
2017;Shahbaaz Khan;2;(null);(null);;;
2017;Shahin Khaledan;1;(null);(null);;;
2017;Shalimar Talbi;36;(null);(null);;;
2017;Shalva Dzhanashia;123;5;2360.00%;;;
2017;Shane Monroe;0;(null);(null);;;
2017;Shanshan Guo;574;196;192.86%;;;
2017;Shao Fan Liu;3;10;-70.00%;;;
2017;Sharobiddin Abzalov;4;0;(null);;;
2017;Shelby Rogers;17058;12420;37.34%;;;
2017;Shelby Talcott;565;153;269.28%;;;
2017;Shelly Bereznyak;0;0;(null);;;
2017;Shelly Krolitzky;0;8;-100.00%;;;
2017;Sherazad Reix;4296;4552;-5.62%;;;
2017;Shiho Akita;2449;2942;-16.76%;;;
2017;Shiho Hisamatsu;0;0;(null);;;
2017;Shilin Xu;473;4059;-88.35%;;;
2017;Shintaro Imai;215;189;13.76%;;;
2017;Shohruh Abdumalikov;0;(null);(null);;;
2017;Shou Na Mu;13;0;(null);;;
2017;Shrivalli Rashmikaa Bhamidipaty;0;(null);(null);;;
2017;Shuai Peng;49348;7966;519.48%;;;
2017;Shuai Zhang;49980;48808;2.40%;;;
2017;Shuichi Sekiguchi;2648;2627;0.80%;;;
2017;Shuko Aoyama;1640;4516;-63.68%;;;
2017;Shunrou Takeshima;5;14;-64.29%;;;
2017;Shuo Feng;71;0;(null);;;
2017;Shweta Rana;12;40;-70.00%;;;
2017;Sidharth Rawat;587;364;61.26%;;;
2017;Silvia Soler Espinosa;9823;11076;-11.31%;;;
2017;Simen Sunde Bratholm;3;(null);(null);;;
2017;Simona Halep;215351;181076;18.93%;;;
2017;Simona Heinova;0;0;(null);;;
2017;Simona Waltert;272;8;3300.00%;;;
2017;Simone Bolelli;3251;667;387.41%;;;
2017;Sina Zuger;0;0;(null);;;
2017;Sindhu Janagam;0;(null);(null);;;
2017;Sinead Lohan;113;0;(null);;;
2017;Sinhee Kim;0;(null);(null);;;
2017;Siqi Cao;5;29;-82.76%;;;
2017;Sitara Prabhu;0;(null);(null);;;
2017;Siyu Chen;3;0;(null);;;
2017;Skander Mansouri;51;10;410.00%;;;
2017;Skyler Butts;1;(null);(null);;;
2017;Sloane Stephens;4332;36745;-88.21%;;;
2017;Snehadevi S Reddy;95;1659;-94.27%;;;
2017;Snehal Mane;0;(null);(null);;;
2017;So Hee Jung;0;0;(null);;;
2017;So Ra Lee;545;1522;-64.19%;;;
2017;Sofia Dmitrieva;65;64;1.56%;;;
2017;Sofia Kenin;13069;2471;428.90%;;;
2017;Sofia Luini;54;151;-64.24%;;;
2017;Sofia Munera Sanchez;0;(null);(null);;;
2017;Sofia Nami Samavati;0;(null);(null);;;
2017;Sofia Sewing;24;0;(null);;;
2017;Sofia Shapatava;3749;5499;-31.82%;;;
2017;Sofia Sharonova;0;(null);(null);;;
2017;Sofiya Kovalets;1144;968;18.18%;;;
2017;Sofya Golubovskaya;74;31;138.71%;;;
2017;Sofya Lansere;0;0;(null);;;
2017;Sofya Treshcheva;0;(null);(null);;;
2017;Sofya Zhuk;6844;811;743.90%;;;
2017;Sohyun Park;0;0;(null);;;
2017;Soon Woo Kwon;7894;1356;482.15%;;;
2017;Sophia Intert;0;(null);(null);;;
2017;Sophia Whittle;0;(null);(null);;;
2017;Sophie Chang;938;216;334.26%;;;
2017;Sophie Muntean;0;(null);(null);;;
2017;Sora Fukuda;357;(null);(null);;;
2017;Sorana Cirstea;21965;22315;-1.57%;;;
2017;Soren Hess Olesen;9;(null);(null);;;
2017;Sowjanya Bavisetti;123;281;-56.23%;;;
2017;Spencer Papa;3;(null);(null);;;
2017;Sri Vaishnavi Peddi Reddy;19;396;-95.20%;;;
2017;Stan Wawrinka;27385;155465;-82.39%;;;
2017;Stefan Kozlov;10400;11696;-11.08%;;;
2017;Stefania Rubini;1887;0;(null);;;
2017;Stefanie Tan;363;515;-29.51%;;;
2017;Stefanie Voegele;8148;16264;-49.90%;;;
2017;Stefano Napolitano;6624;5838;13.46%;;;
2017;Stefano Travaglia;8680;294;2852.38%;;;
2017;Stefanos Tsitsipas;15825;2720;481.80%;;;
2017;Steffi Carruthers;4;60;-93.33%;;;
2017;Stephane Robert;3403;16550;-79.44%;;;
2017;Stephanie Judith Visscher;0;(null);(null);;;
2017;Stephanie Mariel Petit;1076;47;2189.36%;;;
2017;Stephanie Nemtsova;56;46;21.74%;;;
2017;Stephanie Wagner;33;(null);(null);;;
2017;Steve Darcis;22408;19006;17.90%;;;
2017;Steve Johnson;27170;16565;64.02%;;;
2017;Steven De Waard;40;87;-54.02%;;;
2017;Steven Diez;3892;7402;-47.42%;;;
2017;Storm Sanders;167;2471;-93.24%;;;
2017;Su Hao Zhong;9;(null);(null);;;
2017;Su Jeong Jang;12661;13273;-4.61%;;;
2017;Su Wei Hsieh;17149;18226;-5.91%;;;
2017;Sumit Nagal;961;1805;-46.76%;;;
2017;Summer Yardley;0;(null);(null);;;
2017;Sunam Jeong;2146;907;136.60%;;;
2017;Sung Hee Han;251;1083;-76.82%;;;
2017;Supapitch Kuearum;0;(null);(null);;;
2017;Susan Bandecchi;420;74;467.57%;;;
2017;Suzan Lamens;112;0;(null);;;
2017;Suzuho Oshino;4;0;(null);;;
2017;Suzy Larkin;434;285;52.28%;;;
2017;Sven Lah;1;(null);(null);;;
2017;Svenja Ochsner;0;0;(null);;;
2017;Svetlana Kuznetsova;86910;117706;-26.16%;;;
2017;Sviatlana Pirazhenka;1169;1229;-4.88%;;;
2017;Sydney Clarke;0;(null);(null);;;
2017;Szabina Szlavikovics;38;143;-73.43%;;;
2017;Szymon Walkow;14;6;133.33%;;;
2017;Tadeas Paroulek;1;(null);(null);;;
2017;Tadeja Majeric;214;6264;-96.58%;;;
2017;Takanyi Garanganga;444;563;-21.14%;;;
2017;Takhmina Burkhanova;0;(null);(null);;;
2017;Takuto Niki;1202;1020;17.84%;;;
2017;Tallon Griekspoor;2229;491;353.97%;;;
2017;Talya Zandberg;0;0;(null);;;
2017;Tamachan Momkoonthod;34;93;-63.44%;;;
2017;Tamara Barad Itzhaki;0;0;(null);;;
2017;Tamara Curovic;811;1130;-28.23%;;;
2017;Tamara Korpatsch;9975;8375;19.10%;;;
2017;Tamara Zidansek;10982;11493;-4.45%;;;
2017;Tamaryn Hendler;236;(null);(null);;;
2017;Tamira Paszek;310;15729;-98.03%;;;
2017;Tammi Patterson;1223;746;63.94%;;;
2017;Tania Andrada Mare;0;0;(null);;;
2017;Tanysha Dissanayake;0;(null);(null);;;
2017;Tara Moore;4119;5788;-28.84%;;;
2017;Taro Daniel;18639;16416;13.54%;;;
2017;Tatia Mikadze;0;0;(null);;;
2017;Tatiana Perebiynis;3;(null);(null);;;
2017;Tatiana Pieri;185;42;340.48%;;;
2017;Tatjana Maria;30081;15803;90.35%;;;
2017;Tatsuma Ito;9701;11567;-16.13%;;;
2017;Tayisiya Morderger;3788;563;572.82%;;;
2017;Taylor Fritz;15647;15805;-1.00%;;;
2017;Taylor Johnson;0;(null);(null);;;
2017;Taylor Townsend;20868;6826;205.71%;;;
2017;Tea Faber;8;35;-77.14%;;;
2017;Teliana Pereira;3504;5645;-37.93%;;;
2017;Temur Ismailov;109;471;-76.86%;;;
2017;Tena Lukas;3761;5277;-28.73%;;;
2017;Tennys Sandgren;23330;3634;541.99%;;;
2017;Teodora Stinga;32;53;-39.62%;;;
2017;Tereza Jankovska;0;(null);(null);;;
2017;Tereza Koplova;0;(null);(null);;;
2017;Tereza Martincova;12089;7104;70.17%;;;
2017;Tereza Mihalikova;2891;1332;117.04%;;;
2017;Tereza Mrdeza;8460;2888;192.94%;;;
2017;Tereza Prochazkova;176;32;450.00%;;;
2017;Tereza Smitkova;7588;10510;-27.80%;;;
2017;Tess Sugnaux;1980;2494;-20.61%;;;
2017;Tessah Andrianjafitrimo;5928;3664;61.79%;;;
2017;Teymuraz Gabashvili;8723;9719;-10.25%;;;
2017;Thai Sa Grana Pedretti;819;96;753.13%;;;
2017;Thai Son Kwiatkowski;119;125;-4.80%;;;
2017;Thales Turini;51;(null);(null);;;
2017;Thanasi Kokkinakis;370;(null);(null);;;
2017;Thasaporn Naklo;0;(null);(null);;;
2017;Theiviya Selvarajoo;0;0;(null);;;
2017;Theo Gravouil;510;408;25.00%;;;
2017;Thiago Monteiro;12841;18608;-30.99%;;;
2017;Thiago Seyboth Wild;38;(null);(null);;;
2017;Thiemo De Bakker;465;5374;-91.35%;;;
2017;Thisuri Molligoda;0;(null);(null);;;
2017;Thomas Brechemier;83;(null);(null);;;
2017;Thomas Fabbiano;17497;17898;-2.24%;;;
2017;Thomas Fancutt;19;52;-63.46%;;;
2017;Thomas Oger;0;(null);(null);;;
2017;Thomaz Bellucci;10001;17860;-44.00%;;;
2017;Ti Chen;1343;3325;-59.61%;;;
2017;Tiago Cacao;8;(null);(null);;;
2017;Tiffany William;26;0;(null);;;
2017;Tijana Spasojevic;160;11;1354.55%;;;
2017;Tim Puetz;1662;132;1159.09%;;;
2017;Tim Smyczek;9288;12439;-25.33%;;;
2017;Timea Babos;26558;37526;-29.23%;;;
2017;Timea Bacsinszky;20395;70198;-70.95%;;;
2017;Timea Pavlickova;0;(null);(null);;;
2017;Timur Khabibulin;110;77;42.86%;;;
2017;Tingting Pei;7;0;(null);;;
2017;Tiphanie Fiquet;0;(null);(null);;;
2017;Tobias Kamke;6249;15696;-60.19%;;;
2017;Tobias Simon;463;114;306.14%;;;
2017;Tom Farquharson;204;(null);(null);;;
2017;Tom Fawcett;30;5;500.00%;;;
2017;Tom Kocevar Desman;23;37;-37.84%;;;
2017;Tom Schonenberg;3;28;-89.29%;;;
2017;Tomas Berdych;46910;71380;-34.28%;;;
2017;Tomas Gerini;6;(null);(null);;;
2017;Tomas Lipovsek Puches;833;2985;-72.09%;;;
2017;Tomas Liska;1;(null);(null);;;
2017;Tomas Papik;205;25;720.00%;;;
2017;Tomislav Brkic;931;2361;-60.57%;;;
2017;Tomislav Edward Papac;0;(null);(null);;;
2017;Tomislav Jotovski;52;(null);(null);;;
2017;Tommy Haas;465;(null);(null);;;
2017;Tommy Paul;3530;2742;28.74%;;;
2017;Tommy Robredo;5497;721;662.41%;;;
2017;Tomoko Dokei;0;0;(null);;;
2017;Tony Bourcet;1;(null);(null);;;
2017;Tori Kinard;440;426;3.29%;;;
2017;Toshihide Matsui;6;133;-95.49%;;;
2017;Trevor Allen Johnson;6;(null);(null);;;
2017;Tristan Lamasine;5086;7597;-33.05%;;;
2017;Tristan Samuel Weissborn;0;0;(null);;;
2017;Tsung Hua Yang;2476;608;307.24%;;;
2017;Tsvetana Pironkova;5329;16948;-68.56%;;;
2017;Tung Lin Wu;52;1;5100.00%;;;
2017;Ugo Humbert;325;(null);(null);;;
2017;Uladzimir Ignatik;11635;4912;136.87%;;;
2017;Ulises Blanch;44;(null);(null);;;
2017;Ulrikke Eikeri;5828;1883;209.51%;;;
2017;Ulyana Ayzatulina;126;205;-38.54%;;;
2017;Urszula Radwanska;323;4277;-92.45%;;;
2017;Usue Maitane Arconada;5771;884;552.83%;;;
2017;Vaclav Safranek;2825;2683;5.29%;;;
2017;Vadym Ursu;111;365;-69.59%;;;
2017;Valentina Abrile;0;0;(null);;;
2017;Valentina Lia;0;(null);(null);;;
2017;Valentina Ryser;0;(null);(null);;;
2017;Valentine Bacher;0;5;-100.00%;;;
2017;Valentini Grammatikopoulou;7756;8571;-9.51%;;;
2017;Valentyna Ivakhnenko;7771;2280;240.83%;;;
2017;Valeria Bhunu;187;1098;-82.97%;;;
2017;Valeria Gorlats;0;82;-100.00%;;;
2017;Valeria Nikolaev;19;30;-36.67%;;;
2017;Valeria Prosperi;0;0;(null);;;
2017;Valeria Savinykh;3202;780;310.51%;;;
2017;Valeria Solovieva;1329;1977;-32.78%;;;
2017;Valeriya Denisenko;0;(null);(null);;;
2017;Valeriya Pogrebnyak;76;59;28.81%;;;
2017;Valeriya Rozenkova;0;(null);(null);;;
2017;Valeriya Strakhova;3602;5543;-35.02%;;;
2017;Valeriya Urzhumova;102;89;14.61%;;;
2017;Valeriya Yushchenko;87;50;74.00%;;;
2017;Valeriya Zeleva;346;54;540.74%;;;
2017;Vanda Lukacs;830;2984;-72.18%;;;
2017;Vanesa Nikolovova;0;(null);(null);;;
2017;Vanessa Pinto;0;(null);(null);;;
2017;Vania King;1588;10267;-84.53%;;;
2017;Varatchaya Wongteanchai;3074;2910;5.64%;;;
2017;Varunya Wongteanchai;170;384;-55.73%;;;
2017;Varvara Flink;1221;2693;-54.66%;;;
2017;Varvara Gracheva;182;(null);(null);;;
2017;Varvara Kuznetsova;14;6;133.33%;;;
2017;Varvara Lepchenko;26264;18206;44.26%;;;
2017;Vasavi Ganesan;0;(null);(null);;;
2017;Vasek Pospisil;17848;10737;66.23%;;;
2017;Vasile Antonescu;40;(null);(null);;;
2017;Vasilisa Aponasenko;376;96;291.67%;;;
2017;Vasko Mladenov;19;(null);(null);;;
2017;Vendula Zovincova;671;394;70.30%;;;
2017;Venia Yeung;0;(null);(null);;;
2017;Venus Williams;95080;64568;47.26%;;;
2017;Vera Lapko;9457;1492;533.85%;;;
2017;Vera Markovic;0;(null);(null);;;
2017;Vera Sakalouskaya;4;0;(null);;;
2017;Vera Zvonareva;958;(null);(null);;;
2017;Verena Hofer;322;52;519.23%;;;
2017;Verena Meliss;61;44;38.64%;;;
2017;Veronica Cepede Royg;17652;11017;60.23%;;;
2017;Veronica Miroshnichenko;38;282;-86.52%;;;
2017;Veronica Napolitano;35;31;12.90%;;;
2017;Veronika Erjavec;18;(null);(null);;;
2017;Veronika Kapshay;395;706;-44.05%;;;
2017;Veronika Kudermetova;6683;4419;51.23%;;;
2017;Veronika Vlkovska;0;45;-100.00%;;;
2017;Victor Estrella;15454;15295;1.04%;;;
2017;Victor Nunez;1;9;-88.89%;;;
2017;Victor Ouvrard;3;(null);(null);;;
2017;Victoria Ariadna Beccio;9;4;125.00%;;;
2017;Victoria Azarenka;0;78200;-100.00%;;;
2017;Victoria Bosio;724;2395;-69.77%;;;
2017;Victoria Duval;2757;(null);(null);;;
2017;Victoria Flores;12;0;(null);;;
2017;Victoria Kan;903;3526;-74.39%;;;
2017;Victoria Muntean;757;1465;-48.33%;;;
2017;Victoria Rodriguez;5043;3791;33.03%;;;
2017;Victoria Smirnova;8;52;-84.62%;;;
2017;Viktor Durasovic;148;153;-3.27%;;;
2017;Viktor Galovic;3403;1792;89.90%;;;
2017;Viktor Troicki;15340;27910;-45.04%;;;
2017;Viktoria Kamenskaya;6369;6991;-8.90%;;;
2017;Viktoria Kuzmova;19611;6292;211.68%;;;
2017;Viktoria Morvayova;38;0;(null);;;
2017;Viktoria Surova;0;(null);(null);;;
2017;Viktoriia Kalinina;6;0;(null);;;
2017;Viktorija Golubic;10933;24642;-55.63%;;;
2017;Viktoriya Gogol;0;0;(null);;;
2017;Viktoriya Kanapatskaya;0;(null);(null);;;
2017;Viktoriya Petrenko;15;0;(null);;;
2017;Viktoriya Tomova;12823;9145;40.22%;;;
2017;Vincent Millot;6984;12195;-42.73%;;;
2017;Vinciane Remy;37;0;(null);;;
2017;Virginie Razzano;1838;4068;-54.82%;;;
2017;Vishnu Vardhan;826;517;59.77%;;;
2017;Vit Kopriva;144;(null);(null);;;
2017;Vitalia Diatchenko;6163;872;606.77%;;;
2017;Vitalia Stamat;84;(null);(null);;;
2017;Vitaly Kozyukov;224;436;-48.62%;;;
2017;Vittoria Avvantaggiati;0;(null);(null);;;
2017;Vivian Heisen;938;508;84.65%;;;
2017;Vivien Juhaszova;1589;1872;-15.12%;;;
2017;Vivien Klein;0;(null);(null);;;
2017;Vlad Andrei Dumitru;0;(null);(null);;;
2017;Vlad Victor Cornea;3;(null);(null);;;
2017;Vlada Ekshibarova;3221;2701;19.25%;;;
2017;Vlada Koval;130;0;(null);;;
2017;Vlada Zvereva;0;(null);(null);;;
2017;Vladimir Ivanov;1116;165;576.36%;;;
2017;Vladimir Uzhylovsky;176;158;11.39%;;;
2017;Vladyslav Manafov;388;174;122.99%;;;
2017;Walter Trusendi;705;813;-13.28%;;;
2017;Wanyuanyun Jin;0;(null);(null);;;
2017;Warona Mdlulwa;9;0;(null);;;
2017;Watsachol Sawasdee;0;(null);(null);;;
2017;Wei De Lin;6;4;50.00%;;;
2017;Wei Qiang Zheng;5;7;-28.57%;;;
2017;Wendy Qi Wen Zhang;0;0;(null);;;
2017;Weronika Jasmina Forys;41;4;925.00%;;;
2017;Wesley Koolhof;0;0;(null);;;
2017;Whitney Osuigwe;4;0;(null);;;
2017;Wiktoria Kulik;0;49;-100.00%;;;
2017;Wil Spencer;114;98;16.33%;;;
2017;Wilfredo Gonzalez;23;4;475.00%;;;
2017;William Blumberg;68;(null);(null);;;
2017;Winston Lin;64;96;-33.33%;;;
2017;Wishaya Trongcharoenchaikul;299;23;1200.00%;;;
2017;Woo Hyeok Jang;0;(null);(null);;;
2017;Wushuang Zheng;181;24;654.17%;;;
2017;Xenia Knoll;51;281;-81.85%;;;
2017;Xi Qi;10;21;-52.38%;;;
2017;Xiaodi You;988;1134;-12.87%;;;
2017;Xiaoxi Zhao;395;147;168.71%;;;
2017;Xin Gao;250;453;-44.81%;;;
2017;Xin Yu Wang;24;0;(null);;;
2017;Xinyu Gao;6029;1362;342.66%;;;
2017;Xinyu Jiang;210;59;255.93%;;;
2017;Xinyun Han;11004;14127;-22.11%;;;
2017;Xiyu Wang;64;0;(null);;;
2017;Xu Liu Sun;1225;1123;9.08%;;;
2017;Y kit Nicole Tan;0;(null);(null);;;
2017;Ya Hsin Lee;0;(null);(null);;;
2017;Ya Hsuan Lee;3373;5071;-33.48%;;;
2017;Yafan Wang;5618;14613;-61.55%;;;
2017;Yan Bai;619;2422;-74.44%;;;
2017;Yana Morderger;1011;566;78.62%;;;
2017;Yana Sizikova;2275;2815;-19.18%;;;
2017;Yanina Wickmayer;15500;22923;-32.38%;;;
2017;Yann Marti;1185;3327;-64.38%;;;
2017;Yanni Liu;33;0;(null);;;
2017;Yannick Hanfmann;10273;1234;732.50%;;;
2017;Yannick Jankovits;533;399;33.58%;;;
2017;Yannick Maden;8671;1344;545.16%;;;
2017;Yannick Mertens;1842;2963;-37.83%;;;
2017;Yannick Vandenbulcke;583;63;825.40%;;;
2017;Yannik Reuter;2490;4993;-50.13%;;;
2017;Yaraslau Shyla;866;612;41.50%;;;
2017;Yarden Akler;0;(null);(null);;;
2017;Yaroslava Shvedova;4392;17175;-74.43%;;;
2017;Yasmine Mansouri;114;0;(null);;;
2017;Yasutaka Uchiyama;6164;4663;32.19%;;;
2017;Ye Jin Kim;0;(null);(null);;;
2017;Ye Xin Ma;74;8;825.00%;;;
2017;Yecong He;114;277;-58.84%;;;
2017;Yen Hsun Lu;25813;27214;-5.15%;;;
2017;Yeong Won Jeong;21;81;-74.07%;;;
2017;Yi Tsen Cho;0;(null);(null);;;
2017;Yibing Wu;741;6;12250.00%;;;
2017;Ying Ying Duan;16550;10919;51.57%;;;
2017;Ying Zhang;310;589;-47.37%;;;
2017;Yixuan Li;109;85;28.24%;;;
2017;Ylena In Albon;503;292;72.26%;;;
2017;Ylona Georgiana Ghioroaie;1182;279;323.66%;;;
2017;Yolande Leacock;0;0;(null);;;
2017;Yoshihito Nishioka;1204;25945;-95.36%;;;
2017;Yosuke Watanuki;1239;44;2715.91%;;;
2017;You Na Sul;14;9;55.56%;;;
2017;Young Seok Kim;18;118;-84.75%;;;
2017;Ysaline Bonaventure;4631;8457;-45.24%;;;
2017;Yu Hsiou Hsu;18;0;(null);;;
2017;Yu Jin Ahn;30;23;30.43%;;;
2017;Yu Shan;0;(null);(null);;;
2017;Yu Ting Hsieh;0;(null);(null);;;
2017;Yuanfeng Li;13;9;44.44%;;;
2017;Yubarani Banerjee;0;(null);(null);;;
2017;Yue Yuan;608;0;(null);;;
2017;Yuichi Ito;15;68;-77.94%;;;
2017;Yuichi Sugita;28458;15374;85.10%;;;
2017;Yukako Noi;0;0;(null);;;
2017;Yuki Bhambri;9312;2376;291.92%;;;
2017;Yuki Kristina Chiang;658;34;1835.29%;;;
2017;Yuki Naito;15;3;400.00%;;;
2017;Yukina Saigo;62;109;-43.12%;;;
2017;Yukun Zhang;77;285;-72.98%;;;
2017;Yulia Kulikova;143;23;521.74%;;;
2017;Yulia Putintseva;26630;25604;4.01%;;;
2017;Yulia Sokolovskaya;0;(null);(null);;;
2017;Yulia Starodubtsewa;11;0;(null);;;
2017;Yuliya Hatouka;152;0;(null);;;
2017;Yuliya Lysa;125;(null);(null);;;
2017;Yunseong Chung;492;214;129.91%;;;
2017;Yuqi Sheng;16;15;6.67%;;;
2017;Yuriko Miyazaki;0;8;-100.00%;;;
2017;Yusleydis Smith Dias;0;(null);(null);;;
