tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,tourney_spectators,tourney_revenue
2016-W-C10-ROU-02A-2016,Galati $10K,Clay,32,10,191,3046,543734.7
2016-W-C10-ROU-03A-2016,Galati $10K,Clay,32,10,148,3729,724087.23
2016-W-C10-ROU-04A-2016,Focsani $10K,Clay,32,10,188,2548,570132.06
2016-W-C10-ROU-05A-2016,Iasi $10K,Clay,32,10,149,2155,331070.7
2016-W-C10-ROU-06A-2016,Targu Jiu $10K,Clay,32,10,159,3124,577964.52
2016-W-C10-ROU-07A-2016,Targu Jiu $10K,Clay,32,10,166,3000,510809.0
2016-W-C10-ROU-08A-2016,Targu Jiu $10K,Clay,32,10,160,3704,719628.74
2016-W-C10-ROU-09A-2016,Arad $10K,Clay,32,10,189,3676,576760.9
2016-W-C10-ROU-10A-2016,Galati $10K,Clay,32,10,161,3518,715434.79
2016-W-C10-ROU-11A-2016,Bucharest $10K,Clay,32,10,162,3536,645065.12
2016-W-C10-RSA-01A-2016,Stellenbosch $10K,Hard,32,10,179,3594,562755.64
2016-W-C10-RSA-02A-2016,Stellenbosch $10K,Hard,32,10,152,4175,900092.17
2016-W-C10-RSA-03A-2016,Stellenbosch $10K,Hard,32,10,143,2849,567678.8
2016-W-C10-RUS-01A-2016,Khimki $10K,Hard,32,10,146,3531,674659.78
2016-W-C10-RUS-02A-2016,Kazan $10K,Clay,32,10,188,3430,526028.32
2016-W-C10-RUS-03A-2016,Moscow $10K,Clay,32,10,189,4352,925180.14
2016-W-C10-RUS-04A-2016,Moscow $10K,Clay,32,10,161,4720,922822.77
2016-W-C10-SLO-01A-2016,Velenje $10K,Clay,32,10,158,3996,563526.85
2016-W-C10-SLO-02A-2016,Maribor $10K,Clay,32,10,175,2829,618930.91
2016-W-C10-SLO-03A-2016,Maribor $10K,Clay,32,10,164,3411,653049.86
2016-W-C10-SRB-01A-2016,Nis $10K,Clay,32,10,149,889,170766.6
2016-W-C10-SRB-02A-2016,Prokuplje $10K,Clay,32,10,165,3025,655820.71
2016-W-C10-SRB-03A-2016,Prokuplje $10K,Clay,32,10,159,3251,722497.74
2016-W-C10-SRB-04A-2016,Palic $10K,Clay,32,10,166,2908,449136.54
2016-W-C10-SRB-05A-2016,Vrnjacka Banja $10K,Clay,32,10,163,3778,933054.33
2016-W-C10-SUI-01A-2016,Caslano $10K,Clay,32,10,162,4218,762808.62
2016-W-C10-SUI-02A-2016,Sion $10K,Clay,32,10,163,3395,625211.55
2016-W-C10-SVK-01A-2016,Trnava $10K,Hard,32,10,185,4735,863337.81
2016-W-C10-SVK-02A-2016,Slovenska Lupca $10K,Clay,32,10,161,3444,697866.57
2016-W-C10-SWE-01A-2016,Bastad $10K,Clay,32,10,154,3374,608897.84
2016-W-C10-SWE-02A-2016,Bastad $10K,Clay,32,10,180,3212,687668.01
2016-W-C10-SWE-03A-2016,Stockholm $10K,Hard,32,10,179,4243,660650.36
2016-W-C10-SWE-04A-2016,Stockholm $10K,Hard,32,10,151,2835,435627.05
2016-W-C10-THA-01A-2016,Hua Hin $10K,Hard,32,10,174,2636,470389.38
2016-W-C10-THA-02A-2016,Hua Hin $10K,Hard,32,10,181,3169,563109.13
2016-W-C10-THA-03A-2016,Hua Hin $10K,Hard,32,10,147,3760,643835.21
2016-W-C10-THA-04A-2016,Hua Hin $10K,Hard,32,10,145,3145,814802.76
2016-W-C10-THA-05A-2016,Hua Hin $10K,Hard,32,10,190,4154,869400.99
2016-W-C10-TPE-01A-2016,Kaohsiung $10K,Hard,32,10,175,4587,1050053.77
2016-W-C10-TPE-02A-2016,Kaohsiung $10K,Hard,32,10,164,2519,534502.89
2016-W-C10-TUN-01A-2016,Hammamet $10K,Clay,28,10,182,3667,992221.32
2016-W-C10-TUN-02A-2016,Hammamet $10K,Clay,32,10,183,3183,523512.13
2016-W-C10-TUN-03A-2016,Hammamet $10K,Clay,32,10,184,2658,490212.27
2016-W-C10-TUN-04A-2016,Hammamet $10K,Clay,32,10,156,3339,620841.04
2016-W-C10-TUN-05A-2016,Hammamet $10K,Clay,32,10,185,2638,468827.3
2016-W-C10-TUN-06A-2016,Hammamet $10K,Clay,32,10,186,1694,315296.86
2016-W-C10-TUN-07A-2016,Hammamet $10K,Clay,32,10,187,3749,710097.18
2016-W-C10-TUN-08A-2016,Hammamet $10K,Clay,32,10,176,2905,663329.71
2016-W-C10-TUN-09A-2016,Hammamet $10K,Clay,32,10,177,3898,816138.11
2016-W-C10-TUN-10A-2016,Hammamet $10K,Clay,32,10,178,2702,463689.33
2016-W-C10-TUN-11A-2016,Hammamet $10K,Clay,32,10,168,3802,671246.71
2016-W-C10-TUN-12A-2016,Hammamet $10K,Clay,32,10,169,4252,859359.75
2016-W-C10-TUN-13A-2016,Hammamet $10K,Clay,32,10,170,2921,621941.84
2016-W-C10-TUN-14A-2016,Hammamet $10K,Clay,32,10,171,2775,569591.37
2016-W-C10-TUN-15A-2016,Hammamet $10K,Clay,32,10,172,3071,672658.04
2016-W-C10-TUN-16A-2016,Hammamet $10K,Clay,32,10,157,3510,598738.72
2016-W-C10-TUN-18A-2016,Hammamet $10K,Clay,32,10,180,2328,421009.98
2016-W-C10-TUN-19A-2016,Hammamet $10K,Clay,32,10,191,4072,842482.66
2016-W-C10-TUN-20A-2016,Hammamet $10K,Clay,32,10,148,3243,718764.1
2016-W-C10-TUN-21A-2016,Hammamet $10K,Clay,32,10,144,3850,785140.33
2016-W-C10-TUN-22A-2016,Hammamet $10K,Clay,32,10,150,3400,786307.97
2016-W-C10-TUN-23A-2016,Hammamet $10K,Clay,32,10,153,2307,436459.94
2016-W-C10-TUN-24A-2016,Hammamet $10K,Clay,32,10,173,4479,818185.7
2016-W-C10-TUN-25A-2016,Hammamet $10K,Clay,32,10,174,2559,499038.83
2016-W-C10-TUN-26A-2016,Hammamet $10K,Clay,32,10,181,2615,559792.1
2016-W-C10-TUN-27A-2016,Hammamet $10K,Clay,32,10,147,3499,641252.24
2016-W-C10-TUN-28A-2016,Hammamet $10K,Clay,32,10,151,3002,601608.29
2016-W-C10-TUN-29A-2016,Hammamet $10K,Clay,32,10,179,3189,522764.03
2016-W-C10-TUN-30A-2016,Hammamet $10K,Clay,32,10,152,1748,334818.88
2016-W-C10-TUN-31A-2016,Hammamet $10K,Clay,32,10,143,2913,736795.58
2016-W-C10-TUN-32A-2016,Hammamet $10K,Clay,30,10,145,2157,434166.93
2016-W-C10-TUN-33A-2016,Hammamet $10K,Clay,32,10,190,3023,563951.18
2016-W-C10-TUN-34A-2016,Hammamet $10K,Clay,32,10,167,2477,485452.8
2016-W-C10-TUN-35A-2016,Hammamet $10K,Clay,32,10,155,2953,716555.72
2016-W-C10-TUR-01A-2016,Antalya $10K,Clay,32,10,193,3343,635146.09
2016-W-C10-TUR-02A-2016,Antalya $10K,Clay,32,10,182,3378,599854.91
2016-W-C10-TUR-03A-2016,Antalya $10K,Clay,32,10,183,4483,781551.05
2016-W-C10-TUR-04A-2016,Antalya $10K,Clay,32,10,184,3034,701480.07
2016-W-C10-TUR-05A-2016,Antalya $10K,Clay,32,10,156,3036,521973.03
2016-W-C10-TUR-06A-2016,Antalya $10K,Clay,32,10,185,2781,643847.16
2016-W-C10-TUR-07A-2016,Antalya $10K,Clay,32,10,186,2843,540646.26
2016-W-C10-TUR-08A-2016,Antalya $10K,Clay,32,10,187,4426,741224.78
2016-W-C10-TUR-09A-2016,Antalya $10K,Clay,32,10,176,3458,910068.77
2016-W-C10-TUR-10A-2016,Antalya $10K,Clay,32,10,177,2593,537194.65
2016-W-C10-TUR-11A-2016,Antalya $10K,Clay,32,10,178,2935,677786.0
2016-W-C10-TUR-12A-2016,Antalya $10K,Hard,32,10,168,4387,1133493.13
2016-W-C10-TUR-13A-2016,Antalya $10K,Hard,32,10,169,3494,660027.6
2016-W-C10-TUR-14A-2016,Antalya $10K,Hard,32,10,170,3948,638882.72
2016-W-C10-TUR-15A-2016,Antalya $10K,Hard,32,10,171,3430,660154.27
2016-W-C10-TUR-17A-2016,Manisa $10K,Clay,32,10,157,2507,449454.69
2016-W-C10-TUR-18A-2016,Antalya $10K,Hard,32,10,146,4294,611874.11
2016-W-C10-TUR-20A-2016,Antalya $10K,Hard,32,10,180,4204,966665.57
2016-W-C10-TUR-21A-2016,Antalya $10K,Hard,32,10,191,3347,456243.44
2016-W-C10-TUR-22A-2016,Antalya $10K,Hard,32,10,148,2206,358615.66
2016-W-C10-TUR-23A-2016,Antalya $10K,Hard,32,10,158,3985,796415.16
2016-W-C10-TUR-24A-2016,Antalya $10K,Hard,32,10,175,3808,962850.8
2016-W-C10-TUR-25A-2016,Antalya $10K,Hard,32,10,164,3879,858114.38
2016-W-C10-TUR-26A-2016,Antalya $10K,Hard,32,10,188,3244,691491.08
2016-W-C10-TUR-27A-2016,Buca Izmir $10K,Hard,32,10,149,3003,644901.91
2016-W-C10-TUR-38B-2016,Antalya $10K,Clay,32,10,181,3417,675514.48
2016-W-C10-TUR-39A-2016,Antalya $10K,Clay,32,10,147,3298,708609.57
2016-W-C10-TUR-39B-2016,Antalya $10K,Clay,32,10,151,2780,649461.0
2016-W-C10-TUR-40A-2016,Antalya $10K,Clay,32,10,179,2352,517904.28
2016-W-C10-TUR-41A-2016,Antalya $10K,Clay,32,10,152,3787,694969.79
2016-W-C10-TUR-42A-2016,Antalya $10K,Clay,32,10,143,2941,678368.69
2016-W-C10-TUR-43A-2016,Antalya $10K,Clay,32,10,145,2589,627223.02
2016-W-C10-TUR-44A-2016,Antalya $10K,Clay,32,10,190,2734,444661.09
2016-W-C10-TUR-45A-2016,Antalya $10K,Clay,32,10,167,3031,646120.65
2016-W-C10-TUR-46A-2016,Antalya $10K,Clay,32,10,155,2758,533147.37
2016-W-C10-UKR-01A-2016,Kharkiv $10K,Clay,32,10,161,2767,444620.24
2016-W-C10-UKR-02A-2016,Bucha $10K,Clay,32,10,144,3163,840913.77
2016-W-C10-USA-01A-2016,Weston FL $10K,Clay,32,10,177,2985,616142.21
2016-W-C10-USA-02A-2016,Orlando FL $10K,Clay,32,10,178,3207,552556.02
2016-W-C10-USA-02B-2016,Buffalo NY $10K,Clay,32,10,148,3093,671269.54
2016-W-C10-USA-03A-2016,Bethany Beach DE $10K,Clay,32,10,158,3102,625139.74
2016-W-C10-USA-04A-2016,Evansville IN $10K,Hard,32,10,159,2631,458373.05
2016-W-C10-USA-04B-2016,Austin TX $10K,Hard,32,10,166,3632,672051.58
2016-W-C10-USA-05A-2016,Charleston SC $10K,Clay,32,10,173,3162,619529.04
2016-W-C25-AUS-01A-2016,Perth $25K,Hard,32,25,185,3003,480481.2
2016-W-C25-AUS-02A-2016,Perth $25K,Hard,32,25,186,2913,671687.56
2016-W-C25-AUS-03A-2016,Port Pirie $25K,Hard,32,25,187,2235,451000.75
2016-W-C25-AUS-04A-2016,Mildura $25K,Grass,32,25,176,3224,743127.53
2016-W-C25-AUS-05A-2016,Canberra $25K,Clay,32,25,178,3185,669393.08
2016-W-C25-AUS-06A-2016,Canberra $25K,Clay,32,25,168,4407,1036660.61
2016-W-C25-AUS-07A-2016,Tweed Heads $25K,Hard,32,25,153,4135,777474.99
2016-W-C25-AUS-08A-2016,Brisbane $25K,Hard,32,25,173,3251,730562.29
2016-W-C25-AUS-09A-2016,Toowoomba $25K,Hard,32,25,174,3047,633295.72
2016-W-C25-AUS-10A-2016,Cairns $25K,Hard,32,25,181,2296,348033.32
2016-W-C25-BEL-01A-2016,Koksijde $25K,Clay,32,25,189,3395,729617.58
2016-W-C25-BEL-02A-2016,Westende $25K,Hard,32,25,161,3199,575790.37
2016-W-C25-BLR-01A-2016,Minsk $25K,Clay,32,25,158,2767,584740.03
2016-W-C25-BLR-02A-2016,Minsk $25K,Clay,32,25,175,3127,633960.05
2016-W-C25-BLR-03A-2016,Minsk $25K,Hard,32,25,152,4183,814830.76
2016-W-C25-BRA-01A-2016,Guaruja $25K,Hard,32,25,183,2926,539334.68
2016-W-C25-BRA-02A-2016,Bertioga $25K,Hard,32,25,184,3832,631550.12
2016-W-C25-BRA-03A-2016,Sao Paulo $25K,Clay,32,25,187,2843,525199.2
2016-W-C25-BRA-04A-2016,Campinas $25K,Clay,32,25,176,3569,693155.82
2016-W-C25-BRA-05A-2016,Curitiba $25K,Clay,32,25,177,4026,751129.78
2016-W-C25-BRA-06A-2016,Campos Do Jordao $25K,Hard,32,25,166,4267,922357.0
2016-W-C25-BUL-01A-2016,Sofia $25K,Clay,32,25,144,4294,799735.73
2016-W-C25-BUL-02A-2016,Dobrich $25K,Clay,32,25,150,3706,729287.24
2016-W-C25-CAN-01A-2016,Winnipeg $25K,Hard,32,25,165,3621,839013.75
2016-W-C25-CAN-02A-2016,Gatineau $25K,Hard,32,25,189,3855,754295.06
2016-W-C25-CHI-02A-2016,Santiago $25K,Clay,32,25,190,3543,813928.07
2016-W-C25-CHN-01A-2016,Naiman $25K,Hard,32,25,189,3699,788152.77
2016-W-C25-CHN-02A-2016,Nanning $25K,Hard,32,25,172,3275,766919.2
2016-W-C25-CHN-02B-2016,Yuxi $25K,Hard,32,25,149,2925,642123.72
2016-W-C25-CHN-03A-2016,Qujing $25K,Hard,32,25,165,3007,435154.72
2016-W-C25-CHN-04A-2016,Guiyang $25K,Hard,32,25,163,2203,492432.64
2016-W-C25-CHN-05A-2016,Chenzhou $25K,Hard,32,25,179,3391,644621.16
2016-W-C25-CZE-01A-2016,Plzen $25K,Clay,32,25,160,4030,824492.16
2016-W-C25-ESP-01A-2016,Barcelona $25K,Clay,32,25,163,3520,346543.79
2016-W-C25-FRA-01A-2016,Grenoble $25K,Hard,32,25,156,3430,833738.33
2016-W-C25-FRA-01B-2016,Montpellier $25K,Clay,32,25,175,2364,475193.06
2016-W-C25-FRA-02A-2016,Perigueux $25K,Clay,32,25,164,4522,822622.8
2016-W-C25-FRA-03A-2016,Denain $25K,Clay,32,25,188,2078,366013.81
2016-W-C25-FRA-04A-2016,Clermont Ferrand $25K,Hard,32,25,173,3694,728175.79
2016-W-C25-FRA-05A-2016,Equeurdreville $25K,Hard,32,25,181,2787,678731.31
2016-W-C25-GEO-04A-2016,Telavi $25K,Clay,32,25,144,3184,758079.89
2016-W-C25-GER-01A-2016,Altenkirchen $25K,Carpet,32,25,186,3128,666325.49
2016-W-C25-GER-02A-2016,Wiesbaden $25K,Clay,32,25,157,3221,561227.35
2016-W-C25-GER-03A-2016,Braunschweig $25K,Clay,32,25,175,3612,683768.33
2016-W-C25-GER-04A-2016,Stuttgart Vaihingen $25K,Clay,32,25,188,2509,530909.61
2016-W-C25-GER-05A-2016,Aschaffenburg $25K,Clay,32,25,165,2766,513146.15
2016-W-C25-GER-06A-2016,Darmstadt $25K,Clay,32,25,159,4352,665869.46
2016-W-C25-GER-07A-2016,Horb $25K,Clay,32,25,166,3705,550368.16
2016-W-C25-GER-08A-2016,Bad Saulgau $25K,Clay,32,25,160,2483,522465.55
2016-W-C25-GER-09A-2016,Hechingen $25K,Clay,32,25,189,1199,247181.71
2016-W-C25-GER-10A-2016,Leipzig $25K,Clay,32,25,161,2246,425302.78
2016-W-C25-HKG-01A-2016,Hong Kong $25K,Hard,32,25,193,3122,587259.83
2016-W-C25-HUN-01A-2016,Gyor $25K,Clay,32,25,154,3409,745116.74
2016-W-C25-HUN-02A-2016,Hodmezovasarhely $25K,Clay,32,25,148,3957,992597.24
2016-W-C25-HUN-03A-2016,Bukfurdo $25K,Clay,32,25,162,3424,890233.47
2016-W-C25-HUN-04A-2016,Hodmezovasarhely $25K,Clay,32,25,150,3300,642290.98
2016-W-C25-IND-01A-2016,Aurangabad $25K,Clay,32,25,182,3745,854110.57
2016-W-C25-IND-02A-2016,New Delhi $25K,Hard,32,25,186,3164,502028.42
2016-W-C25-IND-03A-2016,Pune $25K,Hard,32,25,152,3782,778989.99
2016-W-C25-IND-04A-2016,Pune $25K,Hard,32,25,155,2463,386033.44
2016-W-C25-IND-05A-2016,Navi Mumbai $25K,Hard,32,25,192,3698,829485.14
2016-W-C25-ITA-01A-2016,Beinasco $25K,Clay,32,25,187,2413,490713.72
2016-W-C25-ITA-02A-2016,Caserta $25K,Clay,32,25,180,3268,707933.97
2016-W-C25-ITA-03A-2016,Grado $25K,Clay,32,25,191,2996,506574.21
2016-W-C25-ITA-04A-2016,Padova $25K,Clay,32,25,158,2482,457156.22
2016-W-C25-ITA-05A-2016,Rome $25K,Clay,32,25,164,1824,350454.22
2016-W-C25-ITA-05B-2016,Torino $25K,Clay,32,25,149,2933,536996.59
2016-W-C25-ITA-06A-2016,Imola $25K,Carpet,32,25,165,2156,503397.57
2016-W-C25-ITA-07A-2016,Bagnatica $25K,Clay,32,25,162,3662,796815.58
2016-W-C25-ITA-08A-2016,Santa Margherita Di Pula $25K,Clay,32,25,174,3526,532551.92
2016-W-C25-ITA-09A-2016,Santa Margherita Di Pula $25K,Clay,32,25,181,2475,433562.38
2016-W-C25-JPN-01A-2016,Karuizawa $25K,Grass,32,25,191,3579,840040.28
2016-W-C25-JPN-01B-2016,Tokyo $25K,Hard,32,25,158,3532,896505.14
2016-W-C25-JPN-02A-2016,Kashiwa $25K,Hard,32,25,170,4710,1010653.18
2016-W-C25-JPN-02B-2016,Kofu $25K,Hard,32,25,169,3183,620322.64
2016-W-C25-JPN-03A-2016,Tsukuba $25K,Hard,32,25,162,2040,385775.0
2016-W-C25-JPN-04A-2016,Noto $25K,Carpet,32,25,163,3137,667999.75
2016-W-C25-JPN-05A-2016,Makinohara $25K,Carpet,32,25,181,2645,603925.5
2016-W-C25-JPN-06A-2016,Hamamatsu $25K,Carpet,32,25,147,4611,941686.01
2016-W-C25-JPN-07A-2016,Iizuka $25K,Hard,32,25,173,2541,441225.58
2016-W-C25-KAZ-01A-2016,Astana $25K,Hard,32,25,166,3211,615765.99
2016-W-C25-KAZ-02A-2016,Almaty $25K,Clay,31,25,163,3653,552605.12
2016-W-C25-KOR-01A-2016,Changwon $25K,Hard,32,25,170,2962,719855.69
2016-W-C25-KOR-02A-2016,Goyang $25K,Hard,32,25,180,4487,779988.26
2016-W-C25-KOR-03A-2016,Incheon $25K,Hard,32,25,191,3472,780273.27
2016-W-C25-MEX-01A-2016,Cuernavaca $25K,Hard,32,25,186,3357,537858.36
2016-W-C25-MEX-04A-2016,Puebla $25K,Hard,32,25,177,3723,755578.09
2016-W-C25-MEX-07A-2016,Irapuato $25K,Hard,32,25,178,4712,1184249.83
2016-W-C25-MNE-01A-2016,Podgorica $25K,Clay,32,25,153,2205,407316.92
2016-W-C25-NED-01A-2016,Middelburg $25K,Clay,32,25,188,3905,810803.28
2016-W-C25-NGR-01A-2016,Lagos $25K,Hard,32,25,181,2472,508061.73
2016-W-C25-NGR-02A-2016,Lagos $25K,Hard,32,25,147,2660,580908.76
2016-W-C25-POL-01A-2016,Torun $25K,Clay,32,25,188,3430,793691.45
2016-W-C25-POL-02A-2016,Zawada Near Opole $25K,Carpet,32,25,143,2710,448873.51
2016-W-C25-ROU-01A-2016,Mamaia $25K,Clay,32,25,163,3631,672295.61
2016-W-C25-RUS-01A-2016,Moscow $25K,Hard,32,25,187,3175,544172.51
2016-W-C25-RUS-02A-2016,Moscow $25K,Clay,32,25,164,3622,777990.79
2016-W-C25-SUI-01A-2016,Chiasso $25K,Clay,32,25,157,3148,653381.36
2016-W-C25-SUI-02A-2016,Lenzerheide $25K,Clay,32,25,164,2783,582473.36
2016-W-C25-SVK-01A-2016,Bratislava $25K,Hard,32,25,152,1752,363594.43
2016-W-C25-SWE-01A-2016,Ystad $25K,Clay,32,25,164,2911,751290.42
2016-W-C25-SWE-02A-2016,Helsingborg $25K,Clay,32,25,188,2652,531905.91
2016-W-C25-THA-01A-2016,Nonthaburi $25K,Hard,32,25,160,2582,536495.9
2016-W-C25-THA-02A-2016,Hua Hin $25K,Hard,32,25,153,4003,852670.74
2016-W-C25-THA-03A-2016,Hua Hin $25K,Hard,32,25,173,3057,565781.06
2016-W-C25-TUN-01A-2016,La Marsa $25K,Clay,32,25,154,3287,738288.96
2016-W-C25-UKR-01A-2016,Kharkiv $25K,Clay,32,25,162,4123,790464.02
2016-W-C25-UKR-02A-2016,Bucha $25K,Clay,32,25,150,3908,658204.61
2016-W-C25-USA-01A-2016,Daytona Beach FL $25K,Clay,32,25,182,4197,1018292.45
2016-W-C25-USA-02A-2016,Wesley Chapel FL $25K,Clay,32,25,183,2131,399048.05
2016-W-C25-USA-03A-2016,Sunrise FL $25K,Clay,32,25,184,3855,926586.68
2016-W-C25-USA-04A-2016,Surprise AZ $25K,Hard,32,25,186,3387,699780.77
2016-W-C25-USA-05A-2016,Rancho Santa Fe CA $25K,Hard,32,25,187,3511,792018.83
2016-W-C25-USA-06A-2016,Naples FL $25K,Clay,32,25,168,3590,783064.92
2016-W-C25-USA-07A-2016,Naples FL $25K,Clay,32,25,154,3265,735382.97
2016-W-C25-USA-08A-2016,Sumter SC $25K,Hard,32,25,175,3545,781235.14
2016-W-C25-USA-09A-2016,Jackson MS $25K,Clay,32,25,170,3575,654284.31
2016-W-C25-USA-10A-2016,Pelham AL $25K,Clay,32,25,171,2955,677355.46
2016-W-C25-USA-11A-2016,Baton Rouge LA $25K,Hard,32,25,164,3028,615819.83
2016-W-C25-USA-12A-2016,El Paso TX $25K,Hard,32,25,188,2243,492994.93
2016-W-C25-USA-13A-2016,Fort Worth TX $25K,Hard,32,25,160,3444,737068.36
2016-W-C25-USA-14A-2016,Landisville PA $25K,Hard,32,25,189,4361,784088.85
2016-W-C25-USA-15A-2016,Redding CA $25K,Hard,32,25,174,3623,645735.75
2016-W-C25-USA-18A-2016,Lubbock TX $25K,Hard,32,25,150,2755,653687.32
2016-W-C25-USA-19A-2016,Stillwater OK $25K,Hard,32,25,173,3441,662961.28
2016-W-C25-USA-20A-2016,Nashville TN $25K,Hard,32,25,145,3710,892465.11
2016-W-C25-UZB-01A-2016,Karshi $25K,Hard,32,25,170,3164,789762.51
2016-W-C25-UZB-02A-2016,Andijan $25K,Hard,32,25,191,2746,541618.8
2016-W-C25-UZB-03A-2016,Namangan $25K,Hard,32,25,148,2949,611579.75
2016-W-C25-UZB-04A-2016,Fergana $25K,Hard,32,25,175,2240,508784.89
2016-W-C50-AUS-01A-2016,Bendigo $50K,Hard,32,50,151,3555,859735.92
2016-W-C50-CAN-01A-2016,Toronto $50K,Hard,32,50,179,2855,470425.05
2016-W-C50-CAN-02A-2016,Granby $50K,Hard,32,50,160,2875,501395.77
2016-W-C50-CAN-03A-2016,Saguenay $50K,Hard,32,50,147,3166,660205.82
2016-W-C50-CHN-01A-2016,Quanzhou $50K,Hard,32,50,168,4036,862442.51
2016-W-C50-CHN-03A-2016,Shenzhen $50K,Hard,32,50,171,2952,667157.69
2016-W-C50-CHN-04A-2016,Zhengzhou $50K,Hard,32,50,180,3890,738198.3
2016-W-C50-CHN-05A-2016,Tianjin $50K,Hard,32,50,191,4225,824838.88
2016-W-C50-CHN-06A-2016,Wuhan $50K,Hard,32,50,166,2810,538134.7
2016-W-C50-CHN-07A-2016,Zhuhai $50K,Hard,32,50,150,4009,740712.39
2016-W-C50-CHN-08A-2016,Suzhou $50K,Hard,32,50,147,3104,487840.79
2016-W-C50-CHN-09A-2016,Liuzhou $50K,Hard,32,50,151,2684,529291.53
2016-W-C50-CZE-01A-2016,Olomouc $50K,Clay,32,50,165,2701,508903.81
2016-W-C50-FRA-01A-2016,Andrezieux Boutheon $50K,Hard,32,50,184,3184,666123.36
2016-W-C50-FRA-02A-2016,Croissy Beaubourg $50K,Hard,32,50,169,3233,624069.32
2016-W-C50-FRA-03A-2016,Saint Gaudens $50K,Clay,32,50,154,3092,711206.96
2016-W-C50-FRA-04A-2016,Saint Malo $50K,Clay,32,50,153,3337,547766.65
2016-W-C50-FRA-05A-2016,Joue Les Tours $50K,Hard,32,50,147,4058,800172.75
2016-W-C50-GBR-01A-2016,Eastbourne $50K,Grass,32,50,148,2957,622690.72
2016-W-C50-GBR-02A-2016,Surbiton $50K,Grass,32,50,158,4468,954895.64
2016-W-C50-GBR-03A-2016,Ilkley $50K,Grass,32,50,175,3232,752375.0
2016-W-C50-GER-05A-2016,Essen $50K,Clay,32,50,158,3166,547768.29
2016-W-C50-GER-06A-2016,Versmold $50K,Clay,32,50,149,2848,553033.27
2016-W-C50-HUN-01A-2016,Szeged $50K,Clay,32,50,175,3831,836343.88
2016-W-C50-HUN-02A-2016,Budapest $50K,Clay,32,50,144,2533,416233.89
2016-W-C50-ITA-01A-2016,Brescia $50K,Clay,32,50,148,3512,635373.31
2016-W-C50-ITA-06A-2016,Rome $50K,Clay,32,50,188,3535,646416.0
2016-W-C50-JPN-01A-2016,Fukuoka $50K,Grass,32,50,154,2523,395985.85
2016-W-C50-JPN-02A-2016,Kurume $50K,Grass,32,50,180,2608,632274.73
2016-W-C50-JPN-03A-2016,Toyota $50K,Carpet,32,50,143,3649,669120.52
2016-W-C50-MEX-01A-2016,Tampico $50K,Hard,32,50,151,3726,742734.56
2016-W-C50-SUI-01A-2016,Kreuzlingen $50K,Carpet,32,50,187,3743,560002.03
2016-W-C50-TUN-01A-2016,Tunis $50K,Clay,32,50,146,3508,656788.66
2016-W-C50-TUR-01A-2016,Istanbul $50K,Hard,32,50,171,3717,587460.2
2016-W-C50-TUR-03A-2016,Ankara $50K,Hard,32,50,192,3395,675804.16
2016-W-C50-USA-01A-2016,Maui HI $50K,Hard,32,50,184,2578,566366.75
2016-W-C50-USA-02A-2016,Osprey FL $50K,Clay,32,50,169,4658,1152034.3
2016-W-C50-USA-03A-2016,Dothan AL $50K,Clay,32,50,172,2677,641939.3
2016-W-C50-USA-04A-2016,Charlottesville VA $50K,Clay,32,50,157,3220,613061.69
2016-W-C50-USA-05A-2016,Stockton CA $50K,Hard,32,50,165,2593,495514.57
2016-W-C50-USA-06A-2016,Sacramento CA $50K,Hard,32,50,159,2996,663110.52
2016-W-C50-USA-07A-2016,Lexington KY $50K,Hard,32,50,166,2008,331126.16
2016-W-C50-USA-08A-2016,Atlanta GA $50K,Hard,32,50,150,2687,504599.51
2016-W-C50-USA-09A-2016,Las Vegas NV $50K,Hard,32,50,173,2827,555467.71
2016-W-C50-USA-10A-2016,Macon GA $50K,Hard,32,50,151,4090,826539.07
2016-W-C50-USA-11A-2016,Scottsdale AZ $50K,Hard,32,50,179,4662,775971.23
2016-W-C50-USA-12A-2016,Waco TX $50K,Hard,32,50,152,3640,600283.39
2016-W-C75-AUS-01A-2016,Launceston $75K,Hard,32,75,156,4520,945176.39
2016-W-C75-CZE-01A-2016,Prague $75K,Clay,32,75,166,1422,287357.02
2016-W-C75-JPN-01A-2016,Gifu $75K,Hard,32,75,146,2169,373709.07
2016-W-C75-USA-03A-2016,Indian Harbour Beach FL $75K,Clay,32,75,146,3180,624334.74
2016-W-C75-USA-04A-2016,Albuquerque NM $75K,Hard,32,75,153,3145,574320.07
2016-W-WITF-AUS-13A-2016,Canberra $50K,Hard,28,50,179,2737,444045.59
2016-W-WITF-AZE-01A-2016,Baku $10K,Hard,19,10,191,1762,392998.36
2016-W-WITF-BIH-01A-2016,Banja Luka $10K,Clay,28,10,188,2382,453935.92
2016-W-WITF-EGY-20A-2016,Sharm El Sheikh $10K,Hard,10,10,191,738,157520.55
2016-W-WITF-ESP-21A-2016,Valencia $25K,Clay,31,25,145,3551,788053.34
2016-W-WITF-FRA-01A-2016,Fort de France Martinique $10K,Hard,15,10,182,1442,293875.1
2016-W-WITF-ITA-24A-2016,Santa Margherita Di Pula $10K,Clay,24,10,150,2450,374682.0
2016-W-WITF-TUR-17A-2016,Antalya $10K,Hard,18,10,172,2029,351509.77
